id,fecha,usuario,texto,tema,sentimiento,likes,reposts
143,2024-08-18,user_28389,Siento que la IA decide por mí más de lo que admito.,Generación Z y crisis de sentido,positivo,13333,3759
144,2025-04-26,user_2713,La hiperconectividad me hace sentir que nada tiene un propósito real.,"Tecnología, IA y autonomía humana",negativo,7379,4501
145,2024-06-16,user_42938,Los algoritmos saben lo que quiero antes de que yo lo sepa.,"Tecnología, IA y autonomía humana",positivo,18955,190
146,2021-06-17,user_34810,Cada recomendación automática reduce mi libertad de elección.,Generación Z y crisis de sentido,positivo,15837,3048
147,2024-05-05,user_84769,TikTok define más mi identidad que cualquier proyecto personal.,"Tecnología, IA y autonomía humana",positivo,10762,2039
148,2025-06-04,user_31192,Siento que la IA decide por mí más de lo que admito.,"Tecnología, IA y autonomía humana",positivo,11236,4334
149,2022-11-15,user_39282,La vigilancia digital transforma la vida cotidiana sin darnos cuenta.,"Tecnología, IA y autonomía humana",positivo,5757,2379
150,2025-08-16,user_48608,"La tecnología me hace eficiente, pero menos consciente.","Tecnología, IA y autonomía humana",positivo,17084,183
151,2024-08-25,user_45089,Cada recomendación automática reduce mi libertad de elección.,Generación Z y crisis de sentido,positivo,5995,3045
152,2021-04-09,user_16279,TikTok define más mi identidad que cualquier proyecto personal.,Generación Z y crisis de sentido,neutral,17740,4480
153,2021-11-04,user_38996,La Gen Z vive buscando validación digital sin darse cuenta.,"Tecnología, IA y autonomía humana",positivo,13099,1534
154,2021-10-27,user_60164,A veces siento que vivo entre algoritmos y no entre personas.,Generación Z y crisis de sentido,positivo,9644,2290
155,2024-01-03,user_76409,Los algoritmos saben lo que quiero antes de que yo lo sepa.,"Tecnología, IA y autonomía humana",positivo,7913,3554
156,2022-09-15,user_15652,Los algoritmos saben lo que quiero antes de que yo lo sepa.,"Tecnología, IA y autonomía humana",positivo,11314,1236
157,2024-01-20,user_46595,Siento que la IA decide por mí más de lo que admito.,Generación Z y crisis de sentido,negativo,14949,485
158,2022-01-16,user_46032,La vigilancia digital transforma la vida cotidiana sin darnos cuenta.,Generación Z y crisis de sentido,positivo,14554,4218
159,2021-04-15,user_15297,La ansiedad viene de comparar mi vida con lo que veo en redes.,"Tecnología, IA y autonomía humana",positivo,17154,2478
160,2022-05-03,user_18114,"La tecnología me hace eficiente, pero menos consciente.","Tecnología, IA y autonomía humana",negativo,1680,1683
161,2024-02-06,user_88085,Los algoritmos saben lo que quiero antes de que yo lo sepa.,Generación Z y crisis de sentido,neutral,6358,2723
162,2024-08-24,user_51318,Los filtros crean burbujas que limitan mi pensamiento crítico.,Generación Z y crisis de sentido,positivo,4225,2771
163,2025-11-24,user_97413,Los algoritmos saben lo que quiero antes de que yo lo sepa.,"Tecnología, IA y autonomía humana",neutral,357,2835
164,2024-07-22,user_28624,Los filtros crean burbujas que limitan mi pensamiento crítico.,"Tecnología, IA y autonomía humana",positivo,10345,1115
165,2024-03-13,user_74198,La ansiedad viene de comparar mi vida con lo que veo en redes.,Generación Z y crisis de sentido,positivo,18004,3137
166,2024-02-25,user_55962,Los algoritmos saben lo que quiero antes de que yo lo sepa.,Generación Z y crisis de sentido,negativo,19429,2400
167,2025-07-24,user_17974,La autenticidad parece imposible en un mundo tan performativo.,"Tecnología, IA y autonomía humana",positivo,46,4850
168,2024-10-13,user_54157,"La tecnología me hace eficiente, pero menos consciente.",Generación Z y crisis de sentido,negativo,15544,2133
169,2024-05-24,user_31713,Los filtros crean burbujas que limitan mi pensamiento crítico.,Generación Z y crisis de sentido,positivo,19938,341
170,2024-06-15,user_22952,La hiperconectividad me hace sentir que nada tiene un propósito real.,Generación Z y crisis de sentido,positivo,13650,4662
171,2022-03-08,user_24147,A veces siento que vivo entre algoritmos y no entre personas.,"Tecnología, IA y autonomía humana",negativo,1977,942
172,2024-06-27,user_16678,"La tecnología me hace eficiente, pero menos consciente.","Tecnología, IA y autonomía humana",neutral,16518,2598
173,2024-11-30,user_18333,"La tecnología me hace eficiente, pero menos consciente.","Tecnología, IA y autonomía humana",neutral,112,1718
174,2021-08-28,user_78124,La comodidad tecnológica parece costar nuestra autonomía.,Generación Z y crisis de sentido,positivo,14183,1155
175,2025-10-20,user_62118,La ansiedad viene de comparar mi vida con lo que veo en redes.,Generación Z y crisis de sentido,neutral,5525,3371
176,2022-02-04,user_53991,La hiperconectividad me hace sentir que nada tiene un propósito real.,Generación Z y crisis de sentido,negativo,10730,168
177,2025-08-03,user_37183,La ansiedad viene de comparar mi vida con lo que veo en redes.,"Tecnología, IA y autonomía humana",negativo,5711,1479
178,2024-06-25,user_15782,La vigilancia digital transforma la vida cotidiana sin darnos cuenta.,Generación Z y crisis de sentido,neutral,118,871
179,2023-08-09,user_58326,Los algoritmos saben lo que quiero antes de que yo lo sepa.,"Tecnología, IA y autonomía humana",neutral,11434,3523
180,2025-02-24,user_26925,"La tecnología me hace eficiente, pero menos consciente.",Generación Z y crisis de sentido,negativo,10327,2234
181,2022-10-06,user_13237,Siento que la IA decide por mí más de lo que admito.,Generación Z y crisis de sentido,positivo,15704,2252
182,2024-05-22,user_76560,La hiperconectividad me hace sentir que nada tiene un propósito real.,"Tecnología, IA y autonomía humana",negativo,17437,2473
183,2022-07-22,user_54023,La hiperconectividad me hace sentir que nada tiene un propósito real.,"Tecnología, IA y autonomía humana",neutral,11442,4713
184,2024-08-09,user_39767,La comodidad tecnológica parece costar nuestra autonomía.,Generación Z y crisis de sentido,negativo,12432,4962
185,2021-02-06,user_79404,La comodidad tecnológica parece costar nuestra autonomía.,Generación Z y crisis de sentido,negativo,12855,282
186,2022-06-16,user_6507,Cada recomendación automática reduce mi libertad de elección.,"Tecnología, IA y autonomía humana",negativo,19954,2085
187,2021-03-11,user_67003,La Gen Z vive buscando validación digital sin darse cuenta.,Generación Z y crisis de sentido,positivo,18380,3286
188,2025-06-02,user_63468,"La tecnología me hace eficiente, pero menos consciente.","Tecnología, IA y autonomía humana",positivo,13206,1790
189,2024-08-04,user_90212,La vigilancia digital transforma la vida cotidiana sin darnos cuenta.,"Tecnología, IA y autonomía humana",neutral,9471,223
190,2024-10-01,user_43400,¿Cómo encontrar sentido cuando todo cambia cada semana?,Generación Z y crisis de sentido,positivo,3181,1520
191,2022-01-05,user_30089,¿Cómo encontrar sentido cuando todo cambia cada semana?,"Tecnología, IA y autonomía humana",positivo,8282,2700
192,2025-04-30,user_85310,La vigilancia digital transforma la vida cotidiana sin darnos cuenta.,"Tecnología, IA y autonomía humana",neutral,2785,2282
193,2021-05-13,user_37514,La hiperconectividad me hace sentir que nada tiene un propósito real.,Generación Z y crisis de sentido,negativo,18813,1210
194,2022-08-26,user_9114,¿Cómo encontrar sentido cuando todo cambia cada semana?,Generación Z y crisis de sentido,positivo,7254,3152
195,2024-11-25,user_24822,Cada recomendación automática reduce mi libertad de elección.,Generación Z y crisis de sentido,negativo,19183,2418
196,2023-03-01,user_12413,Los filtros crean burbujas que limitan mi pensamiento crítico.,Generación Z y crisis de sentido,negativo,939,3167
197,2025-06-05,user_40077,TikTok define más mi identidad que cualquier proyecto personal.,"Tecnología, IA y autonomía humana",negativo,7281,3279
198,2023-08-17,user_89152,TikTok define más mi identidad que cualquier proyecto personal.,"Tecnología, IA y autonomía humana",negativo,16121,1356
199,2025-04-24,user_57896,Cada recomendación automática reduce mi libertad de elección.,Generación Z y crisis de sentido,negativo,7384,2976
200,2024-08-11,user_29409,Los filtros crean burbujas que limitan mi pensamiento crítico.,"Tecnología, IA y autonomía humana",neutral,11768,1272
201,2025-10-20,user_82394,"La tecnología me hace eficiente, pero menos consciente.",Generación Z y crisis de sentido,positivo,2193,3498
202,2025-05-18,user_54728,A veces siento que vivo entre algoritmos y no entre personas.,"Tecnología, IA y autonomía humana",neutral,12990,4843
203,2023-07-19,user_31200,La comodidad tecnológica parece costar nuestra autonomía.,"Tecnología, IA y autonomía humana",positivo,11842,258
204,2021-10-12,user_82602,La hiperconectividad me hace sentir que nada tiene un propósito real.,"Tecnología, IA y autonomía humana",negativo,17818,4881
205,2024-06-27,user_54088,A veces siento que vivo entre algoritmos y no entre personas.,Generación Z y crisis de sentido,positivo,17193,526
206,2023-04-13,user_70215,La comodidad tecnológica parece costar nuestra autonomía.,"Tecnología, IA y autonomía humana",negativo,10716,59
207,2024-02-03,user_61786,La comodidad tecnológica parece costar nuestra autonomía.,Generación Z y crisis de sentido,negativo,13855,3667
208,2023-01-24,user_90785,La vigilancia digital transforma la vida cotidiana sin darnos cuenta.,Generación Z y crisis de sentido,positivo,1139,4213
209,2025-04-21,user_12481,La hiperconectividad me hace sentir que nada tiene un propósito real.,"Tecnología, IA y autonomía humana",neutral,5036,4336
210,2025-06-05,user_89369,La ansiedad viene de comparar mi vida con lo que veo en redes.,Generación Z y crisis de sentido,neutral,11325,2749
211,2021-10-01,user_82110,La ansiedad viene de comparar mi vida con lo que veo en redes.,"Tecnología, IA y autonomía humana",positivo,7108,3784
212,2022-03-03,user_20336,La Gen Z vive buscando validación digital sin darse cuenta.,"Tecnología, IA y autonomía humana",positivo,604,2063
213,2022-04-09,user_91133,La vigilancia digital transforma la vida cotidiana sin darnos cuenta.,Generación Z y crisis de sentido,positivo,5723,1951
214,2024-11-15,user_68596,La vigilancia digital transforma la vida cotidiana sin darnos cuenta.,"Tecnología, IA y autonomía humana",neutral,17353,1515
215,2025-07-31,user_22014,A veces siento que vivo entre algoritmos y no entre personas.,"Tecnología, IA y autonomía humana",negativo,4147,2161
